track_id,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts
2577311,38,0,4,0,0
3253565,7,0,2094,0,0
3369956,0,0,356,0,0
3509026,0,0,806,0,0
1611239,0,0,885,0,0
2008299,82,0,2946,0,0
1166211,1,0,9,0,0
6161550,0,0,6,0,0
5442505,0,0,0,0,0
2313207,0,0,21,0,0
1111875,23,0,18,0,33
5939675,21,0,386,0,
6987709,0,0,0,0,0
3049716,39,0,7341,0,0
2061546,7,0,203,0,2
5080031,0,0,25,0,0
4162862,0,0,0,0,0
3469822,9,0,15,0,1
1534505,0,0,5,0,0
7477767,70,0,49,0,0
2475712,4,0,14,0,0
7546342,35,0,549,0,0
4319986,5,0,291,0,0
8476304,1,0,29,0,0
6593931,50,0,6,0,0
8173823,1,0,18,0,24
8164697,21,0,44,0,0
8186517,24,0,396,0,0
8941056,32,0,12,0,0
5311211,45,0,107,0,0
8333879,44,0,159,0,0
4061483,16,0,54,0,0
4464368,3,0,5,0,0
2835063,29,0,44,0,0
4782067,19,0,38,0,0
5046895,5,0,862,0,0
1647815,72,0,0,0,0
1906058,76,0,102,0,2
7717973,11,0,10,0,0
5418507,10,0,39,0,0
6213355,25,0,14,0,0
6950436,3,0,28,0,1
7165052,8,0,29,0,0
3371670,42,0,24,0,0
4722538,0,0,14,0,0
8835305,10,0,70,0,0
3154799,2,0,12,0,10
6009839,32,0,19,0,0
5191929,21,0,31,0,0
4557678,11,0,7,0,0
6130665,24,0,52,0,0
3841850,14,0,11,0,0
2150360,5,0,4,0,1
6577689,32,0,49,0,0
6177084,4,0,22,0,0
2861036,22,0,23,0,0
7762851,9,0,8,0,0
3186172,1,0,5,0,0
6774092,7,0,7,0,0
6347306,35,0,3,0,0
5005107,1,0,3,0,0
5264430,0,0,0,0,0
7556948,2,0,10,0,0
1713130,1,0,4,0,0
5087776,2,0,4,0,0
4487193,19,0,7,0,0
3635714,0,0,3,0,0
2612867,3,0,2,0,0
8033263,31,0,19,0,2
6509365,29,0,30,0,0
5400474,5,0,5,0,0
7688790,34,0,29,0,0
1771212,19,0,15,0,0
3786238,0,0,2,0,0
3814670,3,0,63,0,353
6621439,11,0,2,0,0
3070266,28,0,54,0,0
6191375,25,0,22,0,0
8917301,17,0,24,0,30
2059327,24,0,805,0,0
3210546,15,0,0,0,0
7512111,3,0,2,0,0
1532170,38,0,24,0,0
8143341,16,0,9,0,0
7243247,0,0,31,0,
1769305,0,0,30,0,0
2341529,4,0,8,0,0
8553734,2,0,7,0,0
6083108,8,1,13,0,0
8024591,6,1,21,0,1
2296238,86,1,49,0,9
2432426,12,1,11,0,8
5864281,82,1,231,0,2
6055373,14,1,50,0,0
6640464,14,1,17,0,2
4277985,88,1,277,0,0
2148200,130,1,390,0,0
1297061,0,1,2,0,0
7332091,1,1,3,0,0
1130135,46,1,34,0,0
6554322,34,1,31,0,0
7885122,45,1,80,0,12
1386091,5,1,62,0,0
1338081,42,1,26,0,0
4703367,26,1,58,0,0
2762640,26,1,19,0,0
3775590,13,1,15,0,1
5906167,203,1,8215,0,0
7513238,4,1,6,0,0
2442031,26,1,17,0,0
6642483,23,1,15,0,0
7220913,36,1,31,0,1
8507943,7,1,15,0,0
2079115,8,1,18,0,0
7697062,18,1,28,0,0
7543802,15,1,23,0,0
5141433,12,1,8,0,1
6485441,51,1,50,0,0
5086845,10,1,8,0,0
3827200,6,1,6,0,0
6026926,14,1,13,0,0
3984533,8,1,7,0,0
5158640,34,2,33,0,1
6333549,23,2,21,0,0
3519068,12,2,13,0,4
6143073,2,2,6,0,2
3355993,0,2,2,0,0
8725160,42,2,57,0,
3872585,4,2,50,0,0
2643038,30,2,5,0,6
5355322,36,2,11,0,14
5128815,12,2,4,0,0
1828295,27,2,31,0,0
4830246,10,2,13,0,1
7498965,10,2,150,0,0
6107475,26,2,15,0,2
6193307,13,2,31,0,0
4671002,26,2,30,0,0
6549461,45,2,26,0,1
6270180,53,2,33,0,0
6057014,4,3,19,0,0
5554493,3,3,6,0,0
6895326,37,3,27,0,50
3895305,29,3,18,0,19
4967469,32,3,9,0,0
4069645,21,3,10,0,0
3092002,32,3,65,0,0
2503884,14,3,81,0,0
6575753,69,3,70,0,3
3023667,25,3,52,0,1
4169887,7,3,89,0,0
2582262,22,3,0,0,0
6457168,17,3,3,0,0
1336403,34,3,30,0,0
3434265,20,3,24,0,0
6390690,55,3,32,0,0
2661792,26,3,39,0,0
2830739,15,3,3,0,0
2307433,20,3,39,0,0
5565096,49,3,57,0,0
5899602,10,3,12,0,0
6372213,6,3,15,0,0
8297242,21,4,13,0,4
5911914,57,4,48,0,0
7662363,2,4,6,0,0
5922471,0,4,23,0,0
7700274,12,4,0,0,0
2987518,20,4,52,0,1
7036044,10,4,4,0,0
3475077,46,5,51,0,20
2038144,1,5,6,0,0
5334385,17,5,21,0,0
7870658,19,5,12,0,0
4551026,16,5,43,0,7
1904373,155,5,577,0,6
3184472,4,5,12,0,51
8262886,137,5,582,0,0
2645476,16,5,0,0,6
6590514,7,5,13,0,0
8471839,4,5,8,0,0
4322356,6,5,3,0,0
3108815,8,5,2,0,0
3381390,7,6,0,0,48
4117642,26,6,19,0,5
4538543,61,6,48,0,150
1824533,4,6,0,0,23
2542321,24,6,105,0,0
6116514,11,6,12,0,15
5897675,32,6,46,0,1
4824782,11,6,25,0,1
1386595,9,6,13,0,2
1587452,1,6,11,0,0
3143453,22,7,11,0,78
8283550,3,7,10,0,0
2636311,173,7,298,0,4
2820520,105,7,199,0,0
6427223,42,7,15,0,4
1322961,13,7,55,0,1
1671724,3,7,13,0,1
6339593,9,7,14,0,1
5974857,22,7,15,0,0
7910702,13,8,5,0,1
7989475,20,8,15,0,6
7175350,1,8,6,0,0
4923214,56,8,104,0,10
2102834,46,8,60,0,0
2598352,24,8,17,0,1
8174233,3,8,5,0,0
4603662,5,9,5,0,0
5763974,29,9,12,0,52
3746522,5,9,0,0,0
4635311,1,9,3,0,0
4991676,5,9,1,0,0
2678616,0,9,2,0,0
4967426,83,9,100,0,4
7434389,31,9,15,0,1
8779560,52,9,46,0,1
7270435,12,9,16,0,0
3506706,26,9,17,0,3
6293464,7,10,0,0,57
6436155,3,10,3,0,0
1740150,1,10,1,0,1
5972088,2,10,0,0,0
7432867,9,10,9,0,0
6824324,11,10,267,0,7
1493023,20,10,33,0,0
5154676,29,10,79,0,0
6604479,23,10,18,0,0
6403499,17,10,16,0,4
7807270,77,10,119,0,40
2853933,45,11,20,0,21
7103818,6,11,3,0,0
1513475,122,11,201,0,1
4265182,7,11,13,0,0
4518298,75,11,44,0,14
1593131,16,11,18,0,0
1041777,80,11,66,0,1
1436447,21,11,40,0,0
3968436,33,11,274,0,0
4102590,101,12,38,0,0
7822780,2,12,10,0,0
5347552,141,12,78,0,0
1159428,105,12,51,0,12
8457557,8,12,9,0,0
2797126,17,12,15,0,0
6675451,9,13,11,0,1
4916659,17,13,27,0,43
5415405,198,13,544,0,60
8672552,67,13,139,0,40
1992045,22,13,65,0,6
8555603,38,13,32,0,0
7321459,79,13,93,0,17
2587921,2,14,2,0,0
2079388,47,14,90,0,1
2726514,14,14,24,0,4
3108040,16,14,7,0,0
2230668,51,14,19,0,0
3533833,86,14,80,0,37
2101565,15,15,6,0,0
1214913,16,15,5,0,1
1413502,6,15,0,0,0
5602322,2,15,1,0,0
2106751,52,15,35,0,1
8056641,43,15,116,0,
5406019,114,15,63,0,2
3363172,78,15,1674,0,3
1633065,4,15,10,0,0
7502400,16,15,20,0,0
4758406,21,15,13,0,0
2284105,12,16,14,0,0
3393833,54,16,259,0,13
1109166,52,16,65,0,206
2142936,23,16,9,0,5
4012549,26,16,17,0,1
4866757,5,17,5,0,0
2841488,15,17,0,0,0
6204936,113,17,208,0,192
2070479,3,17,2,0,0
2717112,1,17,11,0,0
5930788,60,17,154,0,22
2828618,128,17,1663,0,0
7500786,49,17,30,0,0
3146245,8,18,20,0,1
7780139,6,18,1,0,0
6145430,7,18,7,0,0
6386843,3,18,14,0,0
7068825,68,18,75,0,1
6047703,146,18,478,0,7
4845139,0,18,6,0,0
5686736,13,18,12,0,0
8584244,44,19,135,0,6
7748090,275,19,738,0,
2602763,167,19,318,0,1
4795987,60,20,2,0,
8346639,1,20,5,0,1
3853127,4,20,0,0,0
5179092,16,20,4,0,0
4974042,21,20,40,0,0
4940529,6,20,8,0,0
3035987,9,20,7,0,0
7476887,68,21,24,0,259
1452364,23,21,31,0,0
4611820,6,21,3,0,0
7435337,23,21,121,0,13
8096695,20,21,99,0,7
4600873,89,21,65,0,0
2816072,7,21,2,0,0
5697442,10,21,7,0,9
4764570,7,21,11,0,0
7629327,19,21,14,0,2
5476124,31,21,15,0,4
1718193,12,22,12,0,2
2628329,14,22,0,0,0
6829928,10,22,3,0,0
2061482,90,22,365,0,114
5073649,49,23,110,0,8
1266830,34,23,118,0,
1776310,136,24,1959,0,30
5111873,138,24,133,0,1
2346155,143,24,110,0,70
6327262,124,24,254,0,8
2977289,85,24,200,0,2
1532080,10,24,11,0,0
4812397,38,25,61,0,263
7429862,52,25,32,0,10
2848319,7,25,12,0,0
2407166,30,26,15,0,0
6773043,29,26,17,0,0
3910891,72,27,47,0,0
1839223,237,27,636,0,
3657141,13,27,8,0,0
3115886,124,27,587,0,4
8217918,45,27,1197,0,43
1582892,54,28,43,0,0
4528930,42,28,43,0,0
2166194,5,28,9,0,0
4505539,43,28,79,0,208
3694791,19,29,21,0,0
3439901,7,29,3,0,0
6131592,11,29,14,0,0
5975489,5,29,14,0,0
3891081,209,30,449,0,0
8597238,120,30,52,0,1
6195210,144,30,86,0,0
3647986,10,30,13,0,33
6791135,5,31,1,0,0
8965193,101,32,2655,0,666
3557036,255,32,582,0,14
3054476,3,33,3,0,1
8949659,188,34,710,0,5
5498548,92,34,131,0,0
3970396,14,35,1,0,0
4738813,90,35,5,0,0
8480431,125,36,150,0,
4809507,5,36,1,0,0
4497491,31,37,31,0,189
6250958,71,37,653,0,167
7587856,231,37,1509,0,13
6698200,107,38,95,0,
3559931,20,38,12,0,0
3476652,36,38,13,0,3
1291434,89,39,158,0,0
8167749,65,39,41,0,0
1289598,117,39,141,0,46
5350195,34,39,30,0,0
8455676,63,39,1315,0,2
4439384,63,40,76,0,0
4618597,5,40,12,0,0
8125634,18,41,5,0,19
2484929,10,41,20,0,1
8134740,52,42,100,0,0
1545230,28,42,23,0,0
1198357,85,43,134,0,
4666772,45,43,45,0,3
8956923,27,44,24,0,5
5821993,19,45,0,0,10
7741272,39,45,27,0,1
4131863,39,45,250,0,0
2744235,65,45,398,0,1
3169976,73,45,119,0,0
7403072,25,46,105,0,45
3378211,300,47,690,0,
4501584,7,47,15,0,0
7423770,24,47,74,0,0
5337859,39,47,36,0,0
7137376,118,48,143,0,240
4923571,38,48,20,0,0
2748330,15,48,50,0,3
4341380,1,50,19,0,19
4238748,18,51,1005,0,0
8689972,22,51,12,0,0
1230186,42,51,32,0,0
8274842,1,52,8,0,1170
5678676,6,52,11,0,0
1438195,26,52,10,0,95
1014962,71,53,181,0,10
6402604,16,53,1,0,61
7699876,115,53,286,0,0
3546129,11,54,0,0,103
1221828,34,54,34,0,2
7271843,209,54,710,0,18
7370086,37,55,32,0,272
8013969,82,55,50,0,9
7653113,67,55,48,0,6
7298366,175,55,95,0,2
4566008,129,55,128,0,101
8537557,12,56,13,0,13
2616615,108,56,30,0,0
4064553,10,56,17,0,0
5282587,33,57,30,0,11
2840055,11,58,5,0,21
3867590,121,58,212,0,0
5750956,185,61,485,0,
4989276,16,63,8,0,0
6984128,183,63,465,0,11
2003358,44,63,91,0,24
5694303,83,63,4180,0,0
8189388,80,65,476,0,14
2264316,36,65,28,0,0
8360758,382,65,497,0,12
2166249,9,66,10,0,0
2392756,8,67,66,0,0
8171348,28,67,195,0,0
5673293,20,68,50,0,22
3412305,107,69,5239,0,558
3512881,41,69,38,0,36
2754241,58,70,43,0,182
6029543,30,70,142,0,27
2634614,42,70,384,0,3
3747351,6,71,1,0,31
2578085,23,71,14,0,9
6063105,16,72,5,0,8
7881394,4,72,5,0,5
3087104,140,72,251,0,0
4586215,174,73,344,0,0
3814674,28,73,64,0,0
4342968,139,73,142,0,5
6552512,211,74,929,0,129
6900582,114,74,262,0,0
3305057,2,74,14,0,2
8654169,18,75,9,0,0
4148996,29,76,24,0,162
4765423,69,76,335,0,
6352056,86,76,59,0,16
8729578,54,76,900,0,0
7726159,81,77,133,0,
5426643,18,77,61,0,1
6158916,18,78,24,0,30
6602768,13,78,2,0,0
4978027,11,78,35,0,21
4004325,10,79,2,0,42
1936946,21,79,2,0,0
8399372,173,79,175,0,168
6909746,73,79,123,0,0
2699923,38,79,65,0,1
4942277,11,80,1,0,8
1119309,17,80,38,0,0
6062396,16,81,23,0,0
4053069,23,82,6,0,113
3986213,22,82,8,0,9
4105518,36,82,39,0,5
1840761,18,82,0,0,5
4604858,84,84,42,0,23
3827734,128,84,75,0,35
8290102,24,85,102,0,1
1050544,21,86,138,0,2
7122267,13,87,17,0,46
2092930,85,87,179,0,12
2188178,289,87,2430,0,36
6953068,3,88,1,0,52
3575524,37,88,9,0,14
7853001,49,88,62,0,
1239958,68,89,65,0,25
4491971,13,89,34,0,3
7235348,95,89,44,0,
1640645,17,89,11,0,0
7531207,66,89,61,0,11
3090144,47,90,1,0,7
3546474,16,90,10,0,64
7387090,72,90,141,0,0
7304378,113,92,259,0,1
1633830,24,92,93,0,0
8571641,15,93,30,0,320
6380084,122,94,1992,0,18
5865058,24,94,9,0,23
7806612,98,95,453,0,454
4492232,23,95,11,0,3
7526938,71,95,31,0,2
7680579,60,96,71,0,115
6620188,8,96,5,0,56
3782910,66,96,43,0,0
8499304,57,97,35,0,429
8803071,72,97,58,0,154
3163708,26,98,4,0,0
6372609,165,99,104,0,
4278371,144,99,251,0,0
8744804,20,99,44,0,2
6735267,24,101,113,0,40
1274739,9,101,5,0,73
2820265,22,101,0,0,66
7021208,11,101,0,0,48
2009624,38,101,26,0,0
7517093,16,102,7,0,55
1471634,33,102,93,0,30
4502825,16,103,9,0,55
5324238,228,105,2453,0,84
6670857,38,105,25,0,2
1236328,231,106,439,0,
3521113,8,106,6,0,8
1539892,4,106,0,0,7
7179210,2,107,8,0,0
1928790,433,107,3631,0,26
5350503,182,107,160,0,1
1001428,240,107,268,0,5
8753775,126,108,406,0,0
2320654,44,109,131,0,
1729982,160,110,163,0,5
4837745,20,110,20,0,69
2012053,14,110,9,0,49
2886961,85,110,500,0,
4070434,32,110,26,0,0
7224008,274,111,1302,0,
5666047,195,111,310,0,0
7811952,69,113,695,0,458
1461831,4,113,20,0,1
5223297,284,114,1481,0,5
1961503,197,115,112,0,200
6599493,118,116,96,0,3
1647722,47,116,266,0,0
7691321,14,116,9,0,11
5904115,53,120,62,0,2
4002890,108,120,73,0,0
5810373,41,122,394,0,2
7456153,92,122,1282,0,55
7345306,237,123,569,0,10
6792432,33,123,7,0,4
8055412,28,124,13,0,1
8408827,440,125,1800,0,
1121286,10,126,7,0,148
6261319,111,127,210,0,37
3612400,92,127,1219,0,62
3181974,363,129,3895,0,28
2357691,20,129,11,0,12
5095829,2,129,13,0,1
6163158,205,130,625,0,25
4490744,387,132,2094,0,
5477581,5,132,17,0,3
5737293,138,133,283,0,
5459112,77,134,74,0,2
8452012,180,135,223,0,5
5724140,14,141,9,0,1
6002262,110,145,447,0,46
5831523,315,159,2179,0,44
3745752,239,163,583,0,
8576945,191,168,206,0,
3153550,133,181,3,0,
3555344,6,188,20,0,0
6373026,38,266,78,0,141
8715137,13,0,32,1,0
8126826,13,0,113,1,3
8569518,45,0,99,1,1
8987545,3,1,36,1,37
7503630,23,1,44,1,0
4165407,7,2,30,1,11
3076130,29,2,35,1,0
6046483,22,2,65,1,3
7996425,11,3,18,1,1
3885692,20,4,15,1,3
3833877,48,4,34,1,0
2773298,81,4,248,1,6
2439081,111,5,182,1,0
8454029,93,5,67,1,0
5229182,5,6,4,1,33
4389214,5,6,1,1,18
3461405,10,6,7,1,9
7120733,119,6,85,1,1
2489568,54,6,124,1,0
6882173,17,7,41,1,29
8129977,6,9,26,1,66
3933523,42,9,24,1,1
3317105,18,10,13,1,1
5615912,4,11,5,1,2
5617904,9,11,22,1,0
2761463,57,13,50,1,7
3476877,61,13,37,1,0
3170547,46,16,53,1,2
8666108,22,18,15,1,0
1392259,26,18,15,1,4
6728037,27,18,32,1,0
1464404,78,21,240,1,52
6759871,54,21,57,1,0
1027228,61,23,70,1,0
2395685,11,24,7,1,7
7724259,68,24,43,1,0
